id,item,quantity,category,buying_price,selling_price
1,Fenari 1L,2,Insecticide,3600,4000
2,Fenari 500ml,4,Insecticide,1968,2100
3,Fenari 250ml,0,Insecticide,1044,1200
4,Fenari 100ml,15,Insecticide,435,550
5,Fenari 50ml,10,Insecticide,260,350
6,Herole plus 1L,1,Insecticide,3458,3800
7,Herole plus 500ml,2,Insecticide,1862,2100
8,Herole plus 100ml,0,Insecticide,405,550
9,Herole plus 50ml,3,Insecticide,220,350
10,Hitman 1L,1,Insecticide,3500,4000
11,Hitman 500ML,4,Insecticide,1775,2100
12,Hitman 250ML,3,Insecticide,930,1150
13,Hitman 100ML,6,Insecticide,423,550
14,Hitman 50ML,5,Insecticide,275,350
15,Omite 1l,1,Insecticide,3000,3200
16,Omite 500ml,2,Insecticide,1900,2200
17,Omite 250ml,1,Insecticide,1100,1300
18,Omite 50ml,3,Insecticide,300,350
19,Omite 100ml,3,Insecticide,500,600
20,Abamite 1l,1,Insecticide,1420,1600
21,Abamite 500ml,3,Insecticide,750,900
22,Abamite 100ml,3,Insecticide,242,350
23,Abamite 50ml,4,Insecticide,121,200
24,Absolute 1l,1,Fungicide,6370,6800
25,Absolute 250ml,2,Fungicide,1620,1850
26,Absolute 100ml,9,Fungicide,670,750
27,Absolute 50ml,8,Fungicide,350,400
28,Kmec 1l,1,Insecticide,1545,1800
29,Kmec 500ml,3,Insecticide,1005,1200
30,Kmec 250ml,2,Insecticide,532,650
31,Kmec 100ml,8,Insecticide,260,350
32,kmec 50ml,23,Insecticide,165,250
33,Segatron 1,3,Insecticide,557,700
34,Segatron 500ml,3,Insecticide,340,400
35,segatron 100ml,5,Insecticide,79,150
36,sensor 1l,2,Insecticide,3400,3900
37,sensor 500ml,2,Insecticide,1855,2100
38,sensor 250ml,4,Insecticide,1007,1200
39,sensor 100ml,9,Insecticide,440,550
40,sensor 50ml,9,Insecticide,260,350
41,Prosper 1l,1,Insecticide,1800,2000
42,Prosper 500ml,2,Insecticide,950,1200
43,Prosper 250ml,2,Insecticide,500,650
44,Prosper 90ml,2,Insecticide,220,300
45,Cyclotron 1l,1,Insecticide,2194,2400
46,Cyclotron 500ml,2,Insecticide,1148,1250
47,Cyclotron 250ml,1,Insecticide,620,750
48,Cyclotron 100ml,6,Insecticide,268,350
49,Cyclotron 50ml,4,Insecticide,134,200
50,Duduclear 1l,1,Insecticide,3500,4000
51,Duduclear 500ml,1,Insecticide,1850,2200
52,Duduclear 250ml,2,Insecticide,1000,1150
53,Duduclear 100ml,8,Insecticide,400,550
54,Duduclear 50ml,10,Insecticide,250,350
55,Halothrin 1l,1,Insecticide,1032,1200
56,Halothrin 500ml,3,Insecticide,516,650
57,Halothrin 250ml,2,Insecticide,278,350
58,Halothrin 100ml,4,Insecticide,150,250
59,Halothrin 50ml,8,Insecticide,88,150
60,Dildone 1l,2,Insecticide,3400,3700
61,Dildone 250ml,4,Insecticide,1000,1200
62,Dildone 100ml,6,Insecticide,425,550
63,Dildone 50ml,7,Insecticide,235,350
